study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
2,EXT1G,lever_training,250.0,1
2,EXT1G,lever_training,300.0,1
2,EXT1G,lever_training,375.0,1
2,EXT1G,lever_training,425.0,1
2,EXT1G,lever_training,500.0,1
2,EXT1G,lever_training,540.0,1
2,EXT1G,lever_training,615.0,1
2,EXT1G,lever_training,680.0,1
2,EXT1G,lever_training,695.0,1
2,EXT1G,lever_training,760.0,1
2,EXT1G,lever_training,910.0,1
2,EXT1G,lever_training,1110.0,1
2,EXT1G,lever_training,1235.0,1
2,EXT1G,lever_training,1370.0,1
2,EXT1G,lever_training,1395.0,2
2,EXT1G,lever_training,1485.0,1
2,EXT1G,lever_training,1535.0,1
2,EXT1G,lever_training,1680.0,1
2,EXT1G,lever_training,1715.0,1
2,EXT1G,lever_training,1795.0,1
2,EXT1G,lever_training,1850.0,1
2,EXT1G,lever_training,1955.0,1
2,EXT1G,lever_training,2020.0,1
2,EXT1G,lever_training,2040.0,1
2,EXT1G,lever_training,2060.0,1
2,EXT1G,lever_training,2185.0,1
2,EXT1G,lever_training,2340.0,1
2,EXT1G,renewal,0.0,1
2,EXT1G,renewal,145.0,1
2,EXT1G,renewal,220.0,1
2,EXT1G,retrieval,0.0,1
2,EXT1R,LTM2,0.0,1
2,EXT1R,LTM2,85.0,1
2,EXT1R,LTM2,190.0,1
2,EXT1R,extinction1,0.0,1
2,EXT1R,extinction1,115.0,1
2,EXT1R,extinction1,225.0,1
2,EXT1R,extinction2,0.0,1
2,EXT1R,extinction2,115.0,1
2,EXT1R,extinction2,225.0,1
2,EXT1R,extinction3,0.0,1
2,EXT1R,extinction3,430.0,1
2,EXT1R,extinction4,0.0,1
2,EXT1R,extinction4,205.0,1
2,EXT1R,lever_training,0.0,2
2,EXT1R,lever_training,110.0,1
2,EXT1R,lever_training,115.0,1
2,EXT1R,lever_training,140.0,1
2,EXT1R,lever_training,205.0,1
2,EXT1R,lever_training,245.0,1
2,EXT1R,lever_training,265.0,1
2,EXT1R,lever_training,295.0,1
2,EXT1R,lever_training,305.0,1
2,EXT1R,lever_training,365.0,1
2,EXT1R,lever_training,370.0,1
2,EXT1R,lever_training,410.0,1
2,EXT1R,lever_training,450.0,1
2,EXT1R,lever_training,495.0,1
2,EXT1R,lever_training,500.0,1
2,EXT1R,lever_training,545.0,1
2,EXT1R,lever_training,605.0,1
2,EXT1R,lever_training,705.0,2
2,EXT1R,lever_training,775.0,1
2,EXT1R,lever_training,885.0,1
2,EXT1R,lever_training,945.0,1
2,EXT1R,lever_training,1010.0,1
2,EXT1R,lever_training,1115.0,1
2,EXT1R,lever_training,1150.0,1
2,EXT1R,lever_training,1220.0,1
2,EXT1R,lever_training,1345.0,1
2,EXT1R,lever_training,1480.0,1
2,EXT1R,lever_training,1500.0,1
2,EXT1R,lever_training,1580.0,1
2,EXT1R,lever_training,1590.0,1
2,EXT1R,lever_training,1645.0,1
2,EXT1R,lever_training,1680.0,1
2,EXT1R,lever_training,1730.0,1
2,EXT1R,lever_training,1760.0,1
2,EXT1R,lever_training,1815.0,1
2,EXT1R,lever_training,1865.0,1
2,EXT1R,lever_training,1870.0,1
2,EXT1R,lever_training,1890.0,1
2,EXT1R,lever_training,1975.0,1
2,EXT1R,lever_training,2020.0,1
2,EXT1R,lever_training,2080.0,1
2,EXT1R,lever_training,2090.0,2
2,EXT1R,lever_training,2135.0,1
2,EXT1R,lever_training,2240.0,1
2,EXT1R,lever_training,2295.0,1
2,EXT1R,lever_training,2320.0,1
2,EXT1R,lever_training,2380.0,1
2,EXT1R,renewal,0.0,1
2,EXT1R,renewal,65.0,1
2,EXT1R,renewal,165.0,1
2,EXT1R,retrieval,0.0,1
2,EXT2B,LTM2,0.0,1
2,EXT2B,extinction1,0.0,1
2,EXT2B,extinction2,0.0,1
2,EXT2B,extinction3,0.0,1
2,EXT2B,extinction4,0.0,1
2,EXT2B,lever_training,0.0,2
2,EXT2B,lever_training,5.0,1
2,EXT2B,lever_training,25.0,1
2,EXT2B,lever_training,55.0,1
2,EXT2B,lever_training,140.0,1
2,EXT2B,lever_training,195.0,1
2,EXT2B,lever_training,200.0,1
2,EXT2B,lever_training,245.0,1
2,EXT2B,lever_training,300.0,1
2,EXT2B,lever_training,350.0,1
2,EXT2B,lever_training,365.0,1
2,EXT2B,lever_training,465.0,1
2,EXT2B,lever_training,475.0,1
2,EXT2B,lever_training,510.0,1
2,EXT2B,lever_training,565.0,1
2,EXT2B,lever_training,625.0,1
2,EXT2B,lever_training,645.0,1
2,EXT2B,lever_training,730.0,1
2,EXT2B,lever_training,815.0,1
2,EXT2B,lever_training,820.0,1
2,EXT2B,lever_training,920.0,1
2,EXT2B,lever_training,935.0,1
2,EXT2B,lever_training,1020.0,1
2,EXT2B,lever_training,1040.0,2
2,EXT2B,lever_training,1100.0,1
2,EXT2B,lever_training,1145.0,1
2,EXT2B,lever_training,1185.0,1
2,EXT2B,lever_training,1255.0,1
2,EXT2B,lever_training,1295.0,1
2,EXT2B,lever_training,1375.0,1
2,EXT2B,lever_training,1405.0,1
2,EXT2B,lever_training,1495.0,1
2,EXT2B,lever_training,1570.0,1
2,EXT2B,lever_training,1590.0,1
2,EXT2B,lever_training,1675.0,1
2,EXT2B,lever_training,1755.0,1
2,EXT2B,lever_training,1790.0,1
2,EXT2B,lever_training,1875.0,1
2,EXT2B,lever_training,1925.0,1
2,EXT2B,lever_training,2025.0,1
2,EXT2B,lever_training,2060.0,1
2,EXT2B,lever_training,2140.0,1
2,EXT2B,lever_training,2205.0,1
2,EXT2B,lever_training,2270.0,1
2,EXT2B,lever_training,2280.0,1
2,EXT2B,lever_training,2380.0,1
2,EXT2B,lever_training,2390.0,1
2,EXT2B,renewal,0.0,1
2,EXT2B,retrieval,0.0,1
2,EXT2G,LTM2,0.0,1
2,EXT2G,LTM2,170.0,1
2,EXT2G,LTM2,285.0,1
2,EXT2G,LTM2,395.0,1
2,EXT2G,LTM2,450.0,1
2,EXT2G,LTM2,480.0,1
