study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1R,cue_test,325.0,1,0
1a,XIN1R,cue_test,330.0,2,0
1a,XIN1R,cue_test,345.0,3,0
1a,XIN1R,cue_test,350.0,2,0
1a,XIN1R,cue_test,375.0,2,0
1a,XIN1R,cue_test,380.0,6,0
1a,XIN1R,cue_test,385.0,5,0
1a,XIN1R,cue_test,390.0,4,0
1a,XIN1R,cue_test,395.0,2,0
1a,XIN1R,cue_test,400.0,4,0
1a,XIN1R,cue_test,405.0,5,0
1a,XIN1R,cue_test,410.0,4,0
1a,XIN1R,cue_test,415.0,6,0
1a,XIN1R,cue_test,420.0,3,0
1a,XIN1R,cue_test,425.0,5,0
1a,XIN1R,cue_test,430.0,5,0
1a,XIN1R,cue_test,435.0,4,0
1a,XIN1R,cue_test,440.0,5,0
1a,XIN1R,cue_test,445.0,3,0
1a,XIN1R,cue_test,450.0,5,0
1a,XIN1R,cue_test,455.0,5,0
1a,XIN1R,cue_test,460.0,5,0
1a,XIN1R,cue_test,465.0,3,0
1a,XIN1R,cue_test,470.0,5,0
1a,XIN1R,cue_test,475.0,6,0
1a,XIN1R,cue_test,480.0,5,0
1a,XIN1R,cue_test,485.0,4,0
1a,XIN1R,cue_test,490.0,6,0
1a,XIN1R,cue_test,495.0,1,0
1a,XIN1R,cue_test,500.0,2,0
1a,XIN1R,cue_test,505.0,5,0
1a,XIN1R,cue_test,510.0,5,0
1a,XIN1R,cue_test,515.0,6,0
1a,XIN1R,cue_test,520.0,5,0
1a,XIN1R,cue_test,525.0,6,0
1a,XIN1R,cue_test,530.0,5,0
1a,XIN1R,cue_test,535.0,5,0
1a,XIN1R,cue_test,540.0,6,0
1a,XIN1R,generalization_5k,40.0,0,1
1a,XIN1R,generalization_5k,45.0,0,1
1a,XIN1R,generalization_5k,60.0,0,1
1a,XIN1R,generalization_5k,65.0,0,1
1a,XIN1R,generalization_5k,85.0,0,1
1a,XIN1R,generalization_5k,110.0,0,1
1a,XIN1R,generalization_5k,115.0,0,1
1a,XIN1R,generalization_5k,120.0,0,1
1a,XIN1R,generalization_5k,385.0,1,0
1a,XIN1R,generalization_5k,390.0,2,0
1a,XIN1R,generalization_5k,395.0,1,0
1a,XIN1R,generalization_5k,405.0,1,0
1a,XIN1R,generalization_5k,410.0,3,0
1a,XIN1R,generalization_5k,415.0,4,0
1a,XIN1R,generalization_5k,420.0,1,0
1a,XIN1R,generalization_5k,425.0,2,0
1a,XIN1R,generalization_5k,450.0,4,0
1a,XIN1R,generalization_5k,455.0,3,0
1a,XIN1R,generalization_5k,460.0,1,0
1a,XIN1R,generalization_5k,520.0,1,0
1a,XIN1R,generalization_5k,535.0,1,0
1a,XIN1R,generalization_7k,0.0,0,1
1a,XIN1R,generalization_7k,15.0,0,11
1a,XIN1R,generalization_7k,20.0,0,2
1a,XIN1R,generalization_7k,55.0,0,1
1a,XIN1R,generalization_7k,65.0,0,1
1a,XIN1R,generalization_7k,70.0,0,2
1a,XIN1R,generalization_7k,215.0,1,0
1a,XIN1R,generalization_7k,235.0,3,0
