session_name,decile,state_label,mean_occupancy,sem_occupancy,n_subjects,spearman_rho,spearman_pval
extinction1,7,Fear/Distress,0.023690078037904124,0.014077866459113077,16,-0.3939393939393939,0.25999776683488757
extinction1,7,Goal-Directed,0.01386566332218506,0.005015657789922797,16,-0.7212121212121211,0.01857315508946023
extinction1,7,Quiescent,0.959726867335563,0.013703336291292988,16,0.7575757575757575,0.011143446799694208
extinction1,7,Social/Appetitive,0.002717391304347826,0.0019706725690918745,16,0.0,1.0
extinction1,8,Fear/Distress,0.04485294117647059,0.038692123873302564,16,-0.3939393939393939,0.25999776683488757
extinction1,8,Goal-Directed,0.017279411764705883,0.004769975601967786,16,-0.7212121212121211,0.01857315508946023
extinction1,8,Quiescent,0.930514705882353,0.03782169303778615,16,0.7575757575757575,0.011143446799694208
extinction1,8,Social/Appetitive,0.007352941176470588,0.005695563744422672,16,0.0,1.0
extinction1,9,Fear/Distress,0.026654411764705885,0.02080673402867502,16,-0.3939393939393939,0.25999776683488757
extinction1,9,Goal-Directed,0.009874622926093514,0.0038938272947666316,16,-0.7212121212121211,0.01857315508946023
extinction1,9,Quiescent,0.9575084841628959,0.021279960223839132,16,0.7575757575757575,0.011143446799694208
extinction1,9,Social/Appetitive,0.005962481146304675,0.0033494230044975467,16,0.0,1.0
extinction2,0,Fear/Distress,0.0035714285714285718,0.0035714285714285726,14,-0.5896923870743754,0.07277136120108077
extinction2,0,Goal-Directed,0.0375,0.007295753694994232,14,0.16363636363636364,0.6514773427962428
extinction2,0,Quiescent,0.7571428571428571,0.056295224276088754,14,0.32826899358723494,0.35441832701832515
extinction2,0,Social/Appetitive,0.2017857142857143,0.056480102357586,14,0.32218993815043423,0.3639270759675106
extinction2,1,Fear/Distress,0.09999999999999999,0.05440739687914536,14,-0.5896923870743754,0.07277136120108077
