study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1b,XIN1G,pretest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin1Gcue 2024-04-26  1_47 PM_Stats.xlsx,0,102.0
1b,XIN1G,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin1Gcue 2024-04-30 10_09 AM_Stats.xlsx,0,8.0
1b,XIN1G,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin1Gcontex2 2024-09-23  7_29 PM_Stats.xlsx,0,14.0
1b,XIN1G,retest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/后测/xin1Gcue2 2024-09-21  9_59 PM_Stats.xlsx,0,12.0
1b,XIN1G,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin1Gcue2 2024-09-23  7_42 PM_Stats.xlsx,0,25.0
1b,XIN1R,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin1Rcontext 2024-04-29  8_07 PM_Stats.xlsx,0,10.0
1b,XIN1R,pretest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin1Rcue 2024-04-26  1_48 PM_Stats.xlsx,0,230.0
1b,XIN1R,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin1Rcue 2024-04-30  9_49 AM_Stats.xlsx,0,13.0
1b,XIN1R,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin1Rcontext2 2024-09-23  7_37 PM_Stats.xlsx,0,89.0
1b,XIN1R,retest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/后测/xin1Rcue2 2024-09-21  9_45 PM_Stats.xlsx,0,153.0
1b,XIN1R,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin1Rcue2 2024-09-23  8_01 PM_Stats.xlsx,0,18.0
1b,XIN2B,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin2Bcontext 2024-04-29  9_19 PM_Stats.xlsx,0,114.0
1b,XIN2B,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin2Bcue 2024-04-30 10_44 AM_Stats.xlsx,0,19.0
