study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
1b,XIN1B,retest_lever_baseline,0.0,3600.0,False,True,False,False,shock,B
1b,XIN1G,contextual_test,0.0,175.0,False,False,True,False,shock,A
1b,XIN1G,cue_test,0.0,535.0,False,False,True,False,shock,B
1b,XIN1G,pretest_contextual,0.0,210.0,True,True,False,False,shock,A
1b,XIN1G,pretest_cue,95.0,545.0,True,False,False,False,shock,B
1b,XIN1G,retest_contextual,0.0,220.0,True,True,True,False,shock,A
1b,XIN1G,retest_cue,0.0,585.0,True,True,True,False,shock,B
1b,XIN1G,retest_lever_baseline,0.0,3605.0,False,True,False,False,shock,B
1b,XIN1R,contextual_test,0.0,175.0,False,False,True,False,shock,A
1b,XIN1R,cue_test,0.0,535.0,False,False,True,False,shock,B
1b,XIN1R,pretest_contextual,0.0,210.0,True,True,False,False,shock,A
1b,XIN1R,pretest_cue,0.0,575.0,True,True,False,False,shock,B
1b,XIN1R,retest_contextual,0.0,220.0,True,True,True,False,shock,A
1b,XIN1R,retest_cue,0.0,585.0,True,True,True,False,shock,B
1b,XIN1R,retest_lever_baseline,0.0,3600.0,False,True,False,False,shock,B
1b,XIN2B,contextual_test,0.0,175.0,False,False,True,False,control,A
1b,XIN2B,cue_test,0.0,535.0,False,False,True,False,control,B
1b,XIN2B,pretest_contextual,0.0,200.0,True,True,False,False,control,A
1b,XIN2B,pretest_cue,0.0,560.0,True,True,False,False,control,B
1b,XIN2B,retest_contextual,0.0,205.0,True,True,True,False,control,A
1b,XIN2B,retest_cue,0.0,560.0,True,True,True,False,control,B
1b,XIN2B,retest_lever_baseline,0.0,3600.0,False,True,False,False,control,B
1b,XIN2G,contextual_test,0.0,175.0,False,False,True,False,control,A
1b,XIN2G,cue_test,0.0,535.0,False,False,True,False,control,B
1b,XIN2G,pretest_contextual,0.0,195.0,True,True,False,False,control,A
1b,XIN2G,pretest_cue,0.0,565.0,True,True,False,False,control,B
1b,XIN2G,retest_contextual,0.0,210.0,True,True,True,False,control,A
1b,XIN2G,retest_cue,0.0,555.0,True,True,True,False,control,B
1b,XIN2G,retest_lever_baseline,0.0,3600.0,False,True,False,False,control,B
1b,XIN2R,contextual_test,0.0,175.0,False,False,True,False,control,A
1b,XIN2R,cue_test,0.0,535.0,False,False,True,False,control,B
1b,XIN2R,pretest_contextual,0.0,195.0,True,True,False,False,control,A
1b,XIN2R,pretest_cue,0.0,565.0,True,True,False,False,control,B
1b,XIN2R,retest_contextual,0.0,210.0,True,True,True,False,control,A
1b,XIN2R,retest_cue,0.0,555.0,True,True,True,False,control,B
1b,XIN2R,retest_lever_baseline,0.0,3600.0,False,True,False,False,control,B
1b,XIN3B,contextual_test,0.0,175.0,False,False,True,False,control,A
1b,XIN3B,cue_test,0.0,535.0,False,False,True,False,control,B
1b,XIN3B,pretest_contextual,0.0,200.0,True,True,False,False,control,A
1b,XIN3B,pretest_cue,0.0,565.0,True,True,False,False,control,B
1b,XIN3B,retest_contextual,0.0,220.0,True,True,True,False,control,A
1b,XIN3B,retest_cue,0.0,555.0,True,True,True,False,control,B
1b,XIN3B,retest_lever_baseline,0.0,3600.0,False,True,False,False,control,B
1b,XIN3G,contextual_test,0.0,175.0,False,False,True,False,control,A
1b,XIN3G,cue_test,0.0,535.0,False,False,True,False,control,B
1b,XIN3G,pretest_contextual,0.0,200.0,True,True,False,False,control,A
1b,XIN3G,pretest_cue,0.0,560.0,True,True,False,False,control,B
